ACTION_TYPE,EVENTTIME,GAME_DATE,GAME_EVENT_ID,HTM,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,QUARTER,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_TIME,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME,VTM
Jump Shot,255,20151104,9006,HOU,-17.5208,-75.0631,4,5,203506,Victor Oladipo,5.0,15,1,25,237.56,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612753,Orlando Magic,ORL
Putback Layup Shot,316,20151109,3978,LAC,-88.4146,203.3007,5,3,2216,Zach Randolph,3.0,16,1,1,326.07,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612763,Memphis Grizzlies,MEM
Jump Shot,259,20160121,6279,NOP,228.3154,31.2759,4,1,203076,Anthony Davis,1.0,19,1,6,247.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612740,New Orleans Pelicans,DET
Jump Shot,147,20160112,3773,IND,223.1115,7.9187,2,4,201588,George Hill,4.0,27,1,23,149.79,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612754,Indiana Pacers,PHX
Jump Shot,376,20151214,3752,POR,-130.7137,218.4679,6,1,201950,Jrue Holiday,1.0,16,1,26,378.65,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans,NOP
Layup Shot,9,20160105,5147,LAL,-70.18,96.388,0,4,203527,Ryan Kelly,4.0,9,1,1,11.28,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW
Jump Shot,516,20151214,3166,POR,-18.2954,249.9447,8,2,201583,Ryan Anderson,2.0,36,1,27,518.76,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans,NOP
Jump Shot,280,20151102,2016,NYK,-141.0868,90.6985,4,3,201577,Robin Lopez,3.0,40,1,17,283.51,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612752,New York Knicks,SAS
Jump Shot,430,20151223,4484,PHX,-56.297,99.8552,7,4,200751,Randy Foye,4.0,10,1,3,453.1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets,DEN
Reverse Layup Shot,508,20151120,7338,NOP,-136.0483,210.269,8,2,201967,Dante Cunningham,2.0,28,1,2,484.02,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans,SAS
Driving Layup Shot,393,20151110,7573,TOR,-55.9273,90.376,6,2,204038,Langston Galloway,2.0,33,1,0,397.88,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,NYK
Jump Shot,14,20160112,8562,MIN,65.7188,295.3761,0,4,203897,Zach LaVine,4.0,14,1,26,17.67,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612750,Minnesota Timberwolves,OKC
Jump Shot,453,20151125,4788,LAC,73.0841,255.5182,7,1,202330,Gordon Hayward,1.0,33,1,25,455.99,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612762,Utah Jazz,UTA
Pullup Jump shot,207,20160112,3514,LAL,77.4218,237.7585,3,1,201950,Jrue Holiday,1.0,27,1,24,212.03,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans,NOP
Jump Shot,457,20160103,5826,NYK,158.9052,195.6031,7,3,203145,Kent Bazemore,3.0,37,1,25,461.37,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks,ATL
Jump Shot,40,20151207,4954,CHA,-216.0997,67.4403,0,1,2581,Steve Blake,1.0,40,1,25,44.57,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612765,Detroit Pistons,DET
Jump Shot,138,20160110,7101,POR,167.3482,49.6138,2,1,203459,Allen Crabbe,1.0,18,1,15,141.36,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612757,Portland Trail Blazers,OKC
Jump Shot,45,20151231,5865,OKC,-156.2749,66.4047,0,2,201142,Kevin Durant,2.0,45,1,24,56.66,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612760,Oklahoma City Thunder,PHX
Jump Bank Shot,559,20160102,4690,BOS,57.4574,16.241,9,1,201572,Brook Lopez,1.0,19,1,7,561.74,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612751,Brooklyn Nets,BKN
Jump Shot,612,20151129,6213,LAC,163.611,195.9436,10,3,203897,Zach LaVine,3.0,12,1,27,619.69,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612750,Minnesota Timberwolves,MIN
Pullup Jump shot,25,20151107,9207,UTA,34.1757,117.189,0,2,201144,Mike Conley,2.0,25,1,8,27.75,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612763,Memphis Grizzlies,MEM
Layup Shot,701,20151222,5290,DEN,-40.547,243.502,11,2,203115,Will Barton,2.0,41,1,1,694.7,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets,LAL
Hook Shot,318,20151205,8630,CHI,-70.125,218.7696,5,4,2200,Pau Gasol,4.0,18,1,4,301.63,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612741,Chicago Bulls,CHA
Jump Shot,237,20151106,5834,PHX,-106.6708,227.565,3,3,202693,Markieff Morris,3.0,57,1,6,210.98,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612756,Phoenix Suns,DET
Jump Shot,142,20151113,12,CHI,41.2573,243.0748,2,2,202689,Kemba Walker,2.0,22,1,25,145.34,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612766,Charlotte Hornets,CHA
Jump Shot,639,20151106,6688,PHX,-26.433,248.1574,10,1,202339,Eric Bledsoe,1.0,39,1,24,620.19,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612756,Phoenix Suns,DET
Driving Floating Jump Shot,175,20160103,7797,NYK,37.7747,56.1282,2,3,202714,Shelvin Mack,3.0,55,1,4,180.2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612737,Atlanta Hawks,ATL
Jump Shot,455,20160102,8838,CLE,112.0691,92.252,7,4,2590,Mo Williams,4.0,35,1,26,416.23,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612739,Cleveland Cavaliers,ORL
Jump Shot,194,20151103,455,DET,82.1575,219.2981,3,4,101141,Ersan Ilyasova,4.0,14,1,20,202.92,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612765,Detroit Pistons,IND
Cutting Layup Shot,606,20160123,8709,POR,228.0367,17.2528,10,1,201579,Roy Hibbert,1.0,6,1,1,625.76,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL
Driving Hook Shot,573,20151124,2646,GSW,94.6792,95.291,9,3,203903,Jordan Clarkson,3.0,33,1,6,588.26,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL
Jump Shot,127,20151122,8182,LAC,47.9385,249.1935,2,1,2746,Josh Smith,1.0,7,1,26,130.57,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612746,LA Clippers,TOR
Jump Shot,443,20151117,5476,WAS,178.1758,377.5126,7,1,203507,Giannis Antetokounmpo,1.0,23,1,5,434.14,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612749,Milwaukee Bucks,MIL
Jump Shot,105,20160113,7992,POR,118.181,219.9295,1,2,203468,CJ McCollum,2.0,45,1,25,107.62,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612757,Portland Trail Blazers,UTA
Jump Shot,119,20151108,1660,POR,-154.1174,241.893,1,2,202704,Reggie Jackson,2.0,59,1,15,134.33,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612765,Detroit Pistons,DET
Jump Shot,657,20151121,3299,CLE,-178.0607,96.1418,10,1,200794,Paul Millsap,1.0,57,1,12,636.06,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612737,Atlanta Hawks,ATL
Jump Shot,224,20151209,1832,DET,-168.7167,180.7014,3,2,101141,Ersan Ilyasova,2.0,44,1,25,226.99,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612765,Detroit Pistons,MEM
Jump Shot,690,20151214,3613,BKN,-1.8571,25.1961,11,2,201961,Wayne Ellington,2.0,30,1,20,692.87,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612751,Brooklyn Nets,ORL
Tip Layup Shot,0,20151113,6620,MEM,-7.4347,4.9155,0,3,202334,Ed Davis,3.0,0,1,1,1.48,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612757,Portland Trail Blazers,POR
Jump Shot,95,20151205,3117,CHI,-199.5591,143.2204,1,4,2200,Pau Gasol,4.0,35,1,18,78.62,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612741,Chicago Bulls,CHA
Jump Shot,627,20160118,2511,WAS,8.5086,202.5608,10,1,202322,John Wall,1.0,27,1,18,629.96,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612764,Washington Wizards,POR
Jump Shot,106,20160113,9260,BKN,39.5931,148.8316,1,3,202498,Lance Thomas,3.0,46,1,22,97.17,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612752,New York Knicks,NYK
Jump Shot,194,20151114,2516,PHX,195.8298,170.0984,3,3,202339,Eric Bledsoe,3.0,14,1,24,197.52,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns,DEN
Floating Jump shot,684,20151124,1603,POR,212.9517,79.9585,11,1,203943,Noah Vonleh,1.0,24,1,3,680.14,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612757,Portland Trail Blazers,CHI
Layup Shot,315,20151221,5111,BOS,-6.0253,15.9695,5,4,1626154,RJ Hunter,4.0,15,1,0,315.66,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612738,Boston Celtics,MIN
Step Back Jump shot,522,20151215,671,MIN,7.8707,220.0792,8,1,2749,Jameer Nelson,1.0,42,1,20,524.08,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612743,Denver Nuggets,DEN
Jump Shot,0,20151223,1627,IND,-227.5407,105.0748,0,1,201954,Darren Collison,1.0,0,1,26,2.16,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612758,Sacramento Kings,SAC
Jump Shot,661,20151105,4424,DEN,-84.4762,244.1751,11,2,200751,Randy Foye,2.0,1,1,25,664.84,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612743,Denver Nuggets,UTA
Jump Shot,696,20151113,5006,NYK,18.2709,101.5491,11,4,1626170,Jerian Grant,4.0,36,1,16,699.02,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612752,New York Knicks,CLE
Driving Layup Shot,443,20151226,5885,MIL,37.3427,63.825,7,3,201942,DeMar DeRozan,3.0,23,1,1,426.94,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612761,Toronto Raptors,TOR
Jump Shot,394,20160103,7209,LAL,126.4648,205.8045,6,4,202688,Brandon Knight,4.0,34,1,25,399.04,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612756,Phoenix Suns,PHX
Jump Shot,646,20151204,3995,DAL,-217.2951,-11.9373,10,4,2772,Trevor Ariza,4.0,46,1,24,609.63,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets,HOU
Driving Floating Bank Jump Shot,351,20151130,4364,DET,-223.5081,22.3653,5,1,202694,Marcus Morris,1.0,51,1,6,361.3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612765,Detroit Pistons,HOU
Cutting Layup Shot,521,20160123,8292,MIN,-221.455,-2.1097,8,1,2440,Matt Barnes,1.0,41,1,2,505.34,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612763,Memphis Grizzlies,MEM
Turnaround Jump Shot,166,20151116,1944,SAS,56.0598,106.968,2,2,200746,LaMarcus Aldridge,2.0,46,1,11,169.01,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612759,San Antonio Spurs,POR
Pullup Jump shot,641,20160122,4875,ORL,-12.5667,200.2588,10,2,202391,Jeremy Lin,2.0,41,1,10,628.05,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612766,Charlotte Hornets,CHA
Jump Shot,584,20151115,648,LAL,132.3813,189.956,9,1,202704,Reggie Jackson,1.0,44,1,23,584.68,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612765,Detroit Pistons,DET
Jump Shot,309,20151229,5380,HOU,29.3802,71.9796,5,1,202700,Donatas Motiejunas,1.0,9,1,24,289.55,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets,ATL
Jump Shot,420,20151111,8411,DAL,47.4142,149.2082,7,1,2585,Zaza Pachulia,1.0,0,1,16,422.65,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,LAC
Fadeaway Jump Shot,212,20151115,3874,LAL,228.9791,7.5768,3,2,203944,Julius Randle,2.0,32,1,14,242.18,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,DET
Jump Shot,230,20151230,218,MIN,-208.2056,98.164,3,3,203504,Trey Burke,3.0,50,1,23,208.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612762,Utah Jazz,UTA
Driving Layup Shot,103,20160103,2292,LAL,-6.0407,86.963,1,3,203141,Mirza Teletovic,3.0,43,1,1,93.38,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns,PHX
Dunk Shot,23,20151118,1570,UTA,-79.3988,16.4057,0,4,202324,Derrick Favors,4.0,23,1,0,24.85,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612762,Utah Jazz,TOR
Pullup Jump shot,678,20160102,3256,LAC,-85.9039,204.5183,11,1,200755,JJ Redick,1.0,18,1,15,665.92,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612746,LA Clippers,PHI
Layup Shot,521,20151114,3553,WAS,-188.3252,66.9865,8,3,203901,Elfrid Payton,3.0,41,1,2,493.63,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612753,Orlando Magic,ORL
Jump Shot,303,20151113,5233,MEM,220.4453,28.576,5,3,201584,Courtney Lee,3.0,3,1,24,305.39,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612763,Memphis Grizzlies,POR
Turnaround Hook Shot,158,20151110,6729,TOR,-8.6175,76.7461,2,4,201577,Robin Lopez,4.0,38,1,3,160.64,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,NYK
Jump Shot,188,20151205,2374,MIN,-130.381,49.2614,3,1,203081,Damian Lillard,1.0,8,1,24,179.36,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612757,Portland Trail Blazers,POR
Step Back Jump shot,388,20151214,8693,DEN,69.0185,212.7698,6,1,2749,Jameer Nelson,1.0,28,1,20,389.47,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612743,Denver Nuggets,HOU
Jump Shot,481,20151114,5428,SAS,82.4372,162.5768,8,1,2225,Tony Parker,1.0,1,1,16,483.2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs,PHI
Jump Shot,31,20151214,2128,BKN,229.1159,24.599,0,4,203094,Andrew Nicholson,4.0,31,1,23,36.86,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612753,Orlando Magic,ORL
Driving Layup Shot,266,20151107,4651,MIL,3.6786,75.5359,4,1,202328,Greg Monroe,1.0,26,1,1,245.13,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612749,Milwaukee Bucks,BKN
Jump Shot,706,20160106,7776,NOP,170.7803,106.3821,11,2,202379,Jeremy Evans,2.0,46,1,16,708.89,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,DAL
Cutting Layup Shot,505,20151221,4109,SAS,214.1934,7.7168,8,2,201588,George Hill,2.0,25,1,2,486.62,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,IND
Floating Jump shot,616,20151029,119,LAC,-15.5352,146.3623,10,1,101109,Raymond Felton,1.0,16,1,12,618.94,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612742,Dallas Mavericks,DAL
Step Back Jump shot,474,20151116,2707,PHI,-59.6981,155.7222,7,2,202718,Chandler Parsons,2.0,54,1,16,476.32,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,DAL
Hook Shot,446,20160122,1818,HOU,-15.0652,61.4269,7,3,203991,Clint Capela,3.0,26,1,2,457.47,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets,MIL
Jump Shot,574,20151118,7585,UTA,-161.8632,109.7095,9,4,201942,DeMar DeRozan,4.0,34,1,19,577.83,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612761,Toronto Raptors,TOR
Jump Shot,627,20160102,6275,MIN,-227.5691,41.3536,10,1,203952,Andrew Wiggins,1.0,27,1,23,629.29,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612750,Minnesota Timberwolves,MIL
Jump Shot,217,20160118,5176,DAL,43.5725,57.2016,3,1,202083,Wesley Matthews,1.0,37,1,22,202.05,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612742,Dallas Mavericks,BOS
Driving Layup Shot,547,20151215,1321,BOS,72.3609,162.1273,9,2,101135,David Lee,2.0,7,1,1,563.89,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612738,Boston Celtics,CLE
Jump Shot,584,20151124,2323,ATL,37.9693,214.0344,9,2,203118,Mike Scott,2.0,44,1,14,611.4,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612737,Atlanta Hawks,BOS
Jump Shot,0,20151122,1352,NOP,-57.896,48.8666,0,1,201962,Toney Douglas,1.0,0,1,35,4.85,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans,PHX
Driving Layup Shot,676,20151218,177,MIN,-3.9915,9.0056,11,3,1626157,Karl-Anthony Towns,3.0,16,1,0,691.76,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves,SAC
Jump Shot,230,20151220,5268,MIA,-156.1334,224.1092,3,4,203081,Damian Lillard,4.0,50,1,24,232.25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612757,Portland Trail Blazers,POR
Jump Shot,602,20151030,2278,SAS,-47.3954,178.7651,10,1,201572,Brook Lopez,1.0,2,1,12,573.72,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612751,Brooklyn Nets,BKN
Running Finger Roll Layup Shot,63,20160112,4105,IND,22.2232,54.8327,1,3,101145,Monta Ellis,3.0,3,1,1,50.49,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,PHX
Driving Floating Bank Jump Shot,697,20151230,4368,SAC,-203.1225,264.4583,11,3,202397,Ish Smith,3.0,37,1,9,715.46,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612755,Philadelphia 76ers,PHI
Jump Shot,637,20151215,7405,SAC,189.5777,115.5241,10,2,201956,Omri Casspi,2.0,37,1,25,641.92,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612758,Sacramento Kings,HOU
Jump Shot,395,20160110,6643,DEN,185.1702,11.6631,6,2,203087,Jeremy Lamb,2.0,35,1,19,399.07,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612766,Charlotte Hornets,CHA
Jump Shot,318,20151129,7344,CHA,112.0477,227.7348,5,2,201564,O.J. Mayo,2.0,18,1,24,319.74,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612749,Milwaukee Bucks,MIL
Tip Layup Shot,581,20151111,4887,BOS,21.1647,136.9595,9,3,203096,Jared Sullinger,3.0,41,1,1,583.76,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612738,Boston Celtics,IND
Jump Shot,78,20151101,5188,BOS,-21.5834,7.2209,1,3,2564,Boris Diaw,3.0,18,1,11,78.56,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs,SAS
Driving Hook Shot,316,20160105,1398,ATL,-88.2318,76.7099,5,3,201143,Al Horford,3.0,16,1,7,319.83,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612737,Atlanta Hawks,NYK
Jump Shot,544,20151118,5201,OKC,216.4433,124.7426,9,3,201627,Anthony Morrow,3.0,4,1,24,552.1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612760,Oklahoma City Thunder,NOP
Jump Shot,504,20160112,6418,MIL,-177.3694,19.2841,8,2,1626173,Rashad Vaughn,2.0,24,1,25,507.48,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612749,Milwaukee Bucks,CHI
Jump Shot,234,20151209,6376,DET,-228.1924,61.7857,3,4,202704,Reggie Jackson,4.0,54,1,8,252.71,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612765,Detroit Pistons,MEM
Running Layup Shot,80,20160110,4125,POR,-36.1718,61.5758,1,2,203460,Andre Roberson,2.0,20,1,1,81.68,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612760,Oklahoma City Thunder,OKC
Turnaround Hook Shot,406,20151230,2869,CHI,48.106,143.1425,6,1,101133,Ian Mahinmi,1.0,46,1,1,419.81,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,IND
Hook Shot,463,20151115,5940,NYK,-28.4018,88.0881,7,1,203076,Anthony Davis,1.0,43,1,5,467.5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612740,New Orleans Pelicans,NOP
Jump Shot,608,20151228,6492,DAL,59.8044,165.4898,10,1,202083,Wesley Matthews,1.0,8,1,25,574.22,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,MIL
Jump Shot,272,20151220,2059,ORL,-36.2728,250.936,4,3,203506,Victor Oladipo,3.0,32,1,25,274.09,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612753,Orlando Magic,ATL
Floating Jump shot,204,20151115,2731,OKC,1.5953,107.9756,3,1,201586,Serge Ibaka,1.0,24,1,5,218.59,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612760,Oklahoma City Thunder,BOS
Jump Shot,168,20151216,9473,GSW,-135.3774,135.8502,2,4,201578,Marreese Speights,4.0,48,1,18,170.06,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,PHX
Jump Shot,633,20151028,6904,MEM,-172.4086,-4.122,10,1,202389,Timofey Mozgov,1.0,33,1,15,635.39,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers,CLE
Layup Shot,413,20151218,5883,ORL,29.5878,159.1177,6,3,203486,Mason Plumlee,3.0,53,1,2,433.94,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612757,Portland Trail Blazers,POR
Layup Shot,495,20151031,4942,WAS,10.8777,50.9546,8,4,204001,Kristaps Porzingis,4.0,15,1,2,497.39,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,NYK
Jump Shot,296,20151211,8586,UTA,-62.0713,15.9947,4,4,201566,Russell Westbrook,4.0,56,1,7,299.36,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612760,Oklahoma City Thunder,OKC
Pullup Jump shot,252,20151031,9112,IND,18.9525,189.6191,4,3,101139,CJ Miles,3.0,12,1,18,255.23,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612754,Indiana Pacers,UTA
Driving Layup Shot,278,20151106,3615,NYK,25.2801,264.5627,4,3,1626170,Jerian Grant,3.0,38,1,1,300.7,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,MIL
Pullup Jump shot,711,20151223,8516,GSW,219.0636,25.2318,11,2,2738,Andre Iguodala,2.0,51,1,22,713.24,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,UTA
Jump Shot,432,20160112,6360,MIN,-124.3786,130.1548,7,2,1626166,Cameron Payne,2.0,12,1,19,432.33,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612760,Oklahoma City Thunder,OKC
Pullup Jump shot,656,20160110,8249,HOU,160.9562,217.2289,10,1,201976,Patrick Beverley,1.0,56,1,24,658.75,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets,IND
Jump Shot,644,20151223,5568,ORL,-176.8759,76.7048,10,3,201935,James Harden,3.0,44,1,24,672.64,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets,HOU
Layup Shot,185,20160113,6889,CHA,41.6788,109.9526,3,3,202391,Jeremy Lin,3.0,5,1,1,188.19,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets,ATL
Layup Shot,236,20151117,6693,MIA,-53.0987,146.3118,3,4,203952,Andrew Wiggins,4.0,56,1,2,238.19,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves,MIN
Jump Shot,649,20160102,6714,CLE,58.8952,249.0688,10,1,202696,Nikola Vucevic,1.0,49,1,12,624.96,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612753,Orlando Magic,ORL
Running Jump Shot,624,20151216,8044,IND,137.2413,208.6711,10,4,201978,Chase Budinger,4.0,24,1,1,616.6,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,DAL
Cutting Layup Shot,425,20151125,2887,HOU,96.64,117.0501,7,4,2754,Tony Allen,4.0,5,1,2,416.97,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612763,Memphis Grizzlies,MEM
Driving Layup Shot,380,20151028,1359,HOU,54.6157,242.0186,6,4,2749,Jameer Nelson,4.0,20,1,3,374.76,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets,DEN
Floating Jump shot,216,20151110,2584,MIA,-27.0783,87.251,3,3,2548,Dwyane Wade,3.0,36,1,5,219.04,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,LAL
Jump Shot,163,20151202,5993,DET,72.6866,183.5493,2,1,101141,Ersan Ilyasova,1.0,43,1,19,176.26,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612765,Detroit Pistons,PHX
Cutting Dunk Shot,95,20160118,2025,LAC,73.491,237.1125,1,4,2730,Dwight Howard,4.0,35,1,0,102.48,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets,HOU
